     0.0000    1.0000     2.7900
     3.5310    0.0156	  0.0828
     3.5420    0.0155	  0.0824
     3.5530    0.0154	  0.0819
     3.5640    0.0153	  0.0815
     3.5750    0.0152	  0.0811
     3.5860    0.0151	  0.0806
     3.5970    0.0150	  0.0802
     3.6080    0.0149	  0.0798
     3.6190    0.0148	  0.0794
     3.6300    0.0147	  0.0790
     3.6410    0.0146	  0.0786
     3.6520    0.0145	  0.0782
     3.6630    0.0144	  0.0778
     3.6740    0.0143	  0.0774
     3.6850    0.0142	  0.0770
     3.6960    0.0141	  0.0766
     3.7070    0.0140	  0.0762
     3.7180    0.0139	  0.0758
     3.7290    0.0139	  0.0754
     3.7400    0.0138	  0.0750
     3.7510    0.0137	  0.0747
     3.7620    0.0136	  0.0743
     3.7730    0.0135	  0.0739
     3.7840    0.0134	  0.0735
     3.7950    0.0133	  0.0732
     3.8060    0.0132	  0.0728
     3.8170    0.0131	  0.0724
     3.8280    0.0131	  0.0721
     3.8390    0.0130	  0.0717
     3.8500    0.0129	  0.0714
     3.8610    0.0128	  0.0710
     3.8720    0.0127	  0.0707
     3.8830    0.0127	  0.0703
     3.8940    0.0126	  0.0700
     3.9050    0.0125	  0.0696
     3.9160    0.0124	  0.0693
     3.9270    0.0123	  0.0690
     3.9380    0.0123	  0.0686
     3.9490    0.0122	  0.0683
     3.9600    0.0121	  0.0680
     3.9710    0.0120	  0.0676
     3.9820    0.0120	  0.0673
     3.9930    0.0119	  0.0670
     4.0040    0.0118	  0.0667
     4.0150    0.0117	  0.0663
     4.0260    0.0117	  0.0660
     4.0370    0.0116	  0.0657
     4.0480    0.0115	  0.0654
     4.0590    0.0114	  0.0651
     4.0700    0.0114	  0.0648
     4.0810    0.0113	  0.0645
     4.0920    0.0112	  0.0642
